DATE,Employees-government
2003-01-01,21620.000000000000
2003-04-01,21589.333333333333
2003-07-01,21564.333333333333
2003-10-01,21546.333333333333
2004-01-01,21558.666666666667
2004-04-01,21609.666666666667
2004-07-01,21622.333333333333
2004-10-01,21680.333333333333
2005-01-01,21739.666666666667
2005-04-01,21766.000000000000
2005-07-01,21855.000000000000
2005-10-01,21855.666666666667
2006-01-01,21876.000000000000
2006-04-01,21922.333333333333
2006-07-01,22022.000000000000
2006-10-01,22079.666666666667
2007-01-01,22125.000000000000
2007-04-01,22191.666666666667
2007-07-01,22225.333333333333
2007-10-01,22335.666666666667
2008-01-01,22416.000000000000
2008-04-01,22483.333333333333
2008-07-01,22557.333333333333
2008-10-01,22555.000000000000
2009-01-01,22571.666666666667
2009-04-01,22623.333333333333
2009-07-01,22503.000000000000
2009-10-01,22513.000000000000
2010-01-01,22495.000000000000
2010-04-01,22768.333333333333
2010-07-01,22412.000000000000
2010-10-01,22283.333333333333
2011-01-01,22221.666666666667
2011-04-01,22159.000000000000
2011-07-01,22016.333333333333
2011-10-01,21974.333333333333
2012-01-01,21945.333333333333
2012-04-01,21924.000000000000
2012-07-01,21918.000000000000
2012-10-01,21891.000000000000
2013-01-01,21873.333333333333
2013-04-01,21857.666666666667
2013-07-01,21827.000000000000
2013-10-01,21831.000000000000
2014-01-01,21824.000000000000
2014-04-01,21860.000000000000
2014-07-01,21884.333333333333
2014-10-01,21932.000000000000
2015-01-01,21969.333333333333
2015-04-01,22010.666666666667
2015-07-01,22050.000000000000
2015-10-01,22078.000000000000
2016-01-01,22143.333333333333
2016-04-01,22187.666666666667
2016-07-01,22298.666666666667
2016-10-01,22292.000000000000
2017-01-01,22323.666666666667
2017-04-01,22347.333333333333
2017-07-01,22339.000000000000
2017-10-01,22374.666666666667
2018-01-01,22406.666666666667
2018-04-01,22458.333333333333
2018-07-01,22459.333333333333
2018-10-01,22487.666666666667
2019-01-01,22544.333333333333
2019-04-01,22585.333333333333
2019-07-01,22600.333333333333
2019-10-01,22704.000000000000
2020-01-01,22831.666666666667
2020-04-01,21576.666666666667
2020-07-01,21813.000000000000
2020-10-01,21706.333333333333
2021-01-01,21816.666666666667
2021-04-01,21952.666666666667
2021-07-01,22070.333333333333
2021-10-01,22043.666666666667
2022-01-01,22076.666666666667
2022-04-01,22111.000000000000
2022-07-01,22217.666666666667
2022-10-01,22305.666666666667
2023-01-01,22506.666666666667
2023-04-01,22626.666666666667
